,T2M,RH2M,Date
0,23.2,22.06,2016-01-01
1,22.16,23.56,2016-01-02
2,22.61,23.12,2016-01-03
3,23.37,22.38,2016-01-04
4,22.92,25.56,2016-01-05
5,23.37,32.69,2016-01-06
6,23.32,33.69,2016-01-07
7,22.56,34.69,2016-01-08
8,22.05,25.62,2016-01-09
9,21.3,20.5,2016-01-10
10,21.38,22.56,2016-01-11
11,21.73,30.25,2016-01-12
12,22.12,35.25,2016-01-13
13,21.98,32.5,2016-01-14
14,20.97,26.12,2016-01-15
15,20.89,31.25,2016-01-16
16,20.85,28.5,2016-01-17
17,21.12,24.56,2016-01-18
18,19.97,24.88,2016-01-19
19,18.76,36.12,2016-01-20
20,17.82,21.06,2016-01-21
21,18.15,16.62,2016-01-22
22,18.61,14.56,2016-01-23
23,19.27,14.44,2016-01-24
24,19.69,17.06,2016-01-25
25,20.77,15.88,2016-01-26
26,21.85,34.44,2016-01-27
27,24.0,30.94,2016-01-28
28,24.8,30.25,2016-01-29
29,23.53,43.88,2016-01-30
30,23.89,41.12,2016-01-31
31,23.84,36.5,2016-02-01
32,22.19,25.62,2016-02-02
33,21.58,25.44,2016-02-03
34,21.15,16.38,2016-02-04
35,21.55,14.0,2016-02-05
36,22.01,16.0,2016-02-06
37,21.87,14.19,2016-02-07
38,21.06,14.0,2016-02-08
39,21.44,18.38,2016-02-09
40,21.52,18.06,2016-02-10
41,22.66,45.69,2016-02-11
42,21.33,30.56,2016-02-12
43,21.46,41.25,2016-02-13
44,20.81,16.0,2016-02-14
45,21.6,19.94,2016-02-15
46,24.43,29.0,2016-02-16
47,27.48,34.06,2016-02-17
48,28.15,37.75,2016-02-18
49,27.69,49.0,2016-02-19
50,26.23,35.88,2016-02-20
51,25.21,25.19,2016-02-21
52,25.43,15.12,2016-02-22
53,25.7,9.75,2016-02-23
54,25.88,8.81,2016-02-24
55,26.62,10.06,2016-02-25
56,26.66,9.75,2016-02-26
57,26.4,10.31,2016-02-27
58,26.75,9.5,2016-02-28
59,27.37,11.25,2016-02-29
60,29.0,20.19,2016-03-01
61,29.31,31.62,2016-03-02
62,29.3,30.0,2016-03-03
63,29.24,26.69,2016-03-04
64,28.15,26.69,2016-03-05
65,26.7,32.69,2016-03-06
66,28.18,25.62,2016-03-07
67,27.62,27.38,2016-03-08
68,28.51,23.94,2016-03-09
69,28.75,30.81,2016-03-10
70,29.62,30.19,2016-03-11
71,27.7,34.0,2016-03-12
72,26.07,41.19,2016-03-13
73,26.67,38.88,2016-03-14
74,28.08,19.12,2016-03-15
75,28.8,23.88,2016-03-16
76,29.87,26.56,2016-03-17
77,30.04,40.0,2016-03-18
78,30.21,33.19,2016-03-19
79,30.3,29.31,2016-03-20
80,29.2,22.19,2016-03-21
81,30.14,15.12,2016-03-22
82,30.48,8.5,2016-03-23
83,31.46,9.5,2016-03-24
84,32.55,15.25,2016-03-25
85,30.66,22.75,2016-03-26
86,31.33,20.5,2016-03-27
87,30.79,10.0,2016-03-28
88,30.47,10.31,2016-03-29
89,30.91,16.5,2016-03-30
90,30.65,24.38,2016-03-31
91,31.61,34.62,2016-04-01
92,31.73,39.44,2016-04-02
93,32.54,32.38,2016-04-03
94,31.74,31.69,2016-04-04
95,31.25,28.81,2016-04-05
96,31.33,34.06,2016-04-06
97,30.45,23.69,2016-04-07
98,29.65,29.44,2016-04-08
99,30.65,32.62,2016-04-09
100,31.91,28.5,2016-04-10
101,31.85,27.62,2016-04-11
102,32.62,23.5,2016-04-12
103,33.02,21.62,2016-04-13
104,32.58,25.88,2016-04-14
105,32.3,34.5,2016-04-15
106,33.15,30.0,2016-04-16
107,31.97,42.44,2016-04-17
108,32.7,34.62,2016-04-18
109,33.15,33.31,2016-04-19
110,32.86,24.81,2016-04-20
111,31.97,26.81,2016-04-21
112,31.16,40.88,2016-04-22
113,32.02,36.38,2016-04-23
114,31.66,34.62,2016-04-24
115,31.55,32.81,2016-04-25
116,31.83,23.31,2016-04-26
117,33.08,22.88,2016-04-27
118,34.05,26.25,2016-04-28
119,35.42,24.25,2016-04-29
120,35.0,26.94,2016-04-30
121,35.38,28.81,2016-05-01
122,34.15,33.56,2016-05-02
123,34.99,30.81,2016-05-03
124,33.3,31.81,2016-05-04
125,33.23,29.12,2016-05-05
126,34.25,29.88,2016-05-06
127,34.87,32.62,2016-05-07
128,35.53,30.88,2016-05-08
129,36.16,31.0,2016-05-09
130,36.37,30.12,2016-05-10
131,36.8,29.38,2016-05-11
132,36.58,30.94,2016-05-12
133,36.87,27.5,2016-05-13
134,35.8,34.12,2016-05-14
135,36.06,30.94,2016-05-15
136,36.55,35.0,2016-05-16
137,37.85,27.44,2016-05-17
138,39.12,27.38,2016-05-18
139,38.81,28.0,2016-05-19
140,37.2,36.88,2016-05-20
141,35.97,42.12,2016-05-21
142,35.22,46.31,2016-05-22
143,35.22,44.19,2016-05-23
144,35.7,46.06,2016-05-24
145,36.05,43.69,2016-05-25
146,36.29,44.38,2016-05-26
147,35.76,45.94,2016-05-27
148,35.76,45.44,2016-05-28
149,35.46,45.69,2016-05-29
150,35.75,43.0,2016-05-30
151,35.62,41.81,2016-05-31
152,35.58,40.56,2016-06-01
153,35.66,39.19,2016-06-02
154,35.65,36.94,2016-06-03
155,37.08,29.0,2016-06-04
156,37.93,25.5,2016-06-05
157,38.15,26.69,2016-06-06
158,36.73,36.69,2016-06-07
159,36.48,40.69,2016-06-08
160,36.25,42.25,2016-06-09
161,35.41,44.81,2016-06-10
162,35.2,46.94,2016-06-11
163,35.82,45.62,2016-06-12
164,35.33,46.69,2016-06-13
165,35.05,47.88,2016-06-14
166,35.42,45.88,2016-06-15
167,35.31,41.5,2016-06-16
168,34.49,42.88,2016-06-17
169,34.83,42.5,2016-06-18
170,34.68,43.62,2016-06-19
171,34.1,46.25,2016-06-20
172,33.54,52.69,2016-06-21
173,33.08,57.31,2016-06-22
174,31.99,59.06,2016-06-23
175,32.8,54.44,2016-06-24
176,32.5,58.62,2016-06-25
177,32.15,61.44,2016-06-26
178,32.84,58.0,2016-06-27
179,31.94,61.56,2016-06-28
180,29.16,72.06,2016-06-29
181,32.5,60.75,2016-06-30
