,T2M,RH2M,Date
0,19.94,32.75,2016-01-01
1,18.98,30.75,2016-01-02
2,18.8,30.75,2016-01-03
3,19.87,26.0,2016-01-04
4,20.3,25.75,2016-01-05
5,21.19,25.25,2016-01-06
6,20.73,33.81,2016-01-07
7,20.83,35.5,2016-01-08
8,18.48,34.25,2016-01-09
9,18.55,22.44,2016-01-10
10,19.65,19.56,2016-01-11
11,20.05,22.75,2016-01-12
12,20.08,29.5,2016-01-13
13,20.15,34.0,2016-01-14
14,20.17,40.5,2016-01-15
15,19.12,40.25,2016-01-16
16,17.87,47.12,2016-01-17
17,17.69,76.0,2016-01-18
18,16.47,79.12,2016-01-19
19,13.09,60.56,2016-01-20
20,13.69,41.06,2016-01-21
21,13.62,37.19,2016-01-22
22,13.91,38.06,2016-01-23
23,15.3,37.0,2016-01-24
24,16.06,37.56,2016-01-25
25,17.92,33.56,2016-01-26
26,18.55,33.25,2016-01-27
27,19.48,36.69,2016-01-28
28,21.56,36.69,2016-01-29
29,22.03,34.69,2016-01-30
30,22.8,33.5,2016-01-31
31,21.94,36.69,2016-02-01
32,20.23,44.19,2016-02-02
33,18.35,37.06,2016-02-03
34,17.15,22.06,2016-02-04
35,18.55,22.06,2016-02-05
36,20.73,25.75,2016-02-06
37,20.15,28.94,2016-02-07
38,18.22,23.0,2016-02-08
39,18.41,29.31,2016-02-09
40,20.28,29.81,2016-02-10
41,19.91,22.62,2016-02-11
42,20.32,30.06,2016-02-12
43,20.06,30.38,2016-02-13
44,20.6,27.06,2016-02-14
45,22.09,31.88,2016-02-15
46,22.83,45.19,2016-02-16
47,24.0,46.75,2016-02-17
48,25.49,37.38,2016-02-18
49,25.56,30.94,2016-02-19
50,26.31,36.12,2016-02-20
51,24.84,42.31,2016-02-21
52,23.17,17.69,2016-02-22
53,22.93,11.25,2016-02-23
54,23.47,11.12,2016-02-24
55,23.3,12.19,2016-02-25
56,23.6,13.75,2016-02-26
57,22.55,15.06,2016-02-27
58,22.56,15.06,2016-02-28
59,23.99,24.31,2016-02-29
60,24.59,23.94,2016-03-01
61,26.08,24.62,2016-03-02
62,27.97,27.31,2016-03-03
63,27.4,28.12,2016-03-04
64,28.39,24.5,2016-03-05
65,26.94,29.0,2016-03-06
66,26.66,28.62,2016-03-07
67,25.97,32.38,2016-03-08
68,26.66,27.56,2016-03-09
69,26.8,30.0,2016-03-10
70,28.78,25.69,2016-03-11
71,28.23,26.69,2016-03-12
72,24.74,43.88,2016-03-13
73,23.74,35.06,2016-03-14
74,23.91,43.94,2016-03-15
75,24.63,31.62,2016-03-16
76,26.45,25.69,2016-03-17
77,27.86,32.19,2016-03-18
78,27.78,28.56,2016-03-19
79,27.51,23.69,2016-03-20
80,27.05,17.81,2016-03-21
81,26.36,19.62,2016-03-22
82,27.13,10.81,2016-03-23
83,28.48,11.69,2016-03-24
84,29.34,13.5,2016-03-25
85,30.45,14.81,2016-03-26
86,29.55,22.19,2016-03-27
87,28.78,30.44,2016-03-28
88,29.05,19.31,2016-03-29
89,29.19,14.5,2016-03-30
90,29.97,14.12,2016-03-31
91,31.04,17.69,2016-04-01
92,33.09,20.94,2016-04-02
93,34.34,22.06,2016-04-03
94,33.29,20.12,2016-04-04
95,31.94,23.44,2016-04-05
96,31.4,27.31,2016-04-06
97,30.37,25.69,2016-04-07
98,30.74,19.0,2016-04-08
99,30.99,19.12,2016-04-09
100,31.32,18.75,2016-04-10
101,31.51,22.88,2016-04-11
102,30.95,21.25,2016-04-12
103,30.48,16.12,2016-04-13
104,31.73,15.94,2016-04-14
105,33.01,14.06,2016-04-15
106,34.26,16.25,2016-04-16
107,32.97,19.38,2016-04-17
