,T2M,RH2M,Date
0,21.53,61.5,2016-01-01
1,21.9,66.44,2016-01-02
2,21.7,65.75,2016-01-03
3,20.76,56.12,2016-01-04
4,21.3,65.81,2016-01-05
5,20.99,52.88,2016-01-06
6,21.25,58.5,2016-01-07
7,21.03,52.31,2016-01-08
8,21.88,51.19,2016-01-09
9,21.64,52.31,2016-01-10
10,20.94,56.75,2016-01-11
11,21.23,54.0,2016-01-12
12,20.3,43.38,2016-01-13
13,20.64,47.12,2016-01-14
14,21.64,56.75,2016-01-15
15,22.62,53.62,2016-01-16
16,22.71,59.94,2016-01-17
17,22.66,71.44,2016-01-18
18,23.33,72.75,2016-01-19
19,23.43,75.12,2016-01-20
20,20.15,66.56,2016-01-21
21,18.58,50.5,2016-01-22
22,18.44,48.94,2016-01-23
23,18.51,50.0,2016-01-24
24,19.22,52.19,2016-01-25
25,20.14,68.75,2016-01-26
26,21.84,74.81,2016-01-27
27,23.53,64.19,2016-01-28
28,22.53,61.31,2016-01-29
29,23.43,59.19,2016-01-30
30,24.39,46.94,2016-01-31
31,24.29,59.5,2016-02-01
32,25.08,68.44,2016-02-02
33,24.85,70.81,2016-02-03
34,24.45,69.69,2016-02-04
35,23.61,67.56,2016-02-05
36,24.44,70.38,2016-02-06
37,24.95,71.5,2016-02-07
38,25.04,70.44,2016-02-08
39,25.11,63.12,2016-02-09
40,24.61,51.31,2016-02-10
41,25.58,69.75,2016-02-11
42,26.98,66.31,2016-02-12
43,26.82,64.25,2016-02-13
44,26.8,64.38,2016-02-14
45,27.02,58.06,2016-02-15
46,27.07,55.5,2016-02-16
47,27.46,51.5,2016-02-17
48,27.62,50.0,2016-02-18
49,28.23,44.69,2016-02-19
50,28.69,45.25,2016-02-20
51,28.74,47.19,2016-02-21
52,29.45,56.5,2016-02-22
53,28.82,65.56,2016-02-23
54,28.59,62.81,2016-02-24
55,27.53,67.56,2016-02-25
56,26.01,72.12,2016-02-26
57,23.8,72.56,2016-02-27
58,26.12,64.38,2016-02-28
59,27.42,62.31,2016-02-29
60,27.44,58.38,2016-03-01
61,27.91,56.75,2016-03-02
62,28.01,53.94,2016-03-03
63,28.29,45.75,2016-03-04
64,28.66,47.69,2016-03-05
65,29.08,51.5,2016-03-06
66,28.55,52.12,2016-03-07
67,28.58,49.38,2016-03-08
68,29.12,51.0,2016-03-09
69,29.7,50.0,2016-03-10
70,29.61,50.75,2016-03-11
71,29.85,52.12,2016-03-12
72,29.75,51.88,2016-03-13
73,27.44,59.12,2016-03-14
74,27.72,60.06,2016-03-15
75,29.68,51.19,2016-03-16
76,30.07,50.69,2016-03-17
77,30.17,57.56,2016-03-18
78,31.16,57.31,2016-03-19
79,31.87,47.25,2016-03-20
80,31.76,37.62,2016-03-21
81,31.62,45.56,2016-03-22
82,31.51,52.62,2016-03-23
83,31.23,55.56,2016-03-24
84,30.59,58.12,2016-03-25
85,30.75,58.88,2016-03-26
86,30.35,60.88,2016-03-27
87,29.73,60.81,2016-03-28
88,30.37,59.56,2016-03-29
89,30.8,59.69,2016-03-30
90,30.9,59.94,2016-03-31
91,31.68,54.69,2016-04-01
92,32.19,54.81,2016-04-02
93,32.64,54.75,2016-04-03
94,32.99,53.31,2016-04-04
95,33.42,50.31,2016-04-05
96,34.51,40.81,2016-04-06
97,34.8,36.25,2016-04-07
98,34.15,39.5,2016-04-08
99,34.41,39.0,2016-04-09
100,35.12,35.31,2016-04-10
101,35.69,34.75,2016-04-11
102,35.69,35.12,2016-04-12
103,34.76,43.44,2016-04-13
104,34.29,51.19,2016-04-14
105,34.33,52.38,2016-04-15
