name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jaipur,India",2016-01-01,79.8,51.2,65.3,79.8,51.2,65.3,39.4,41.3,0,0,0,,,,,6.9,96,1020.9,23.8,1.1,152.7,13.2,6,,2016-01-01T07:15:46,2016-01-01T17:44:17,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-02,79.4,52.2,63.7,79.4,52.2,63.7,34.8,37,0,0,0,,,,,6.7,91.2,1020.8,27.6,1.1,129.4,11.2,6,,2016-01-02T07:16:02,2016-01-02T17:44:58,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,42348099999"
"Jaipur,India",2016-01-03,82.5,51.8,65.5,80,51.8,65.2,32.4,35.6,0,0,0,,,,,4.9,341.7,1019.1,10.6,1,169.6,14.6,7,,2016-01-03T07:16:17,2016-01-03T17:45:39,0.78,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-04,82.1,54.2,66.3,80.1,54.2,66,35.4,35.2,0,0,0,,,,,7.2,159.7,1018.9,41.2,1.2,143.9,12.6,6,,2016-01-04T07:16:31,2016-01-04T17:46:21,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-05,83.9,55.3,67.7,81.1,55.3,67.2,36.7,35.8,0,0,0,,,,,7.2,207.3,1017.3,17.1,1,171.7,14.7,6,,2016-01-05T07:16:43,2016-01-05T17:47:04,0.85,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-06,82.5,56.2,67.3,80.3,56.2,67.1,39.9,39.2,0,0,0,,,,,7.8,289.8,1016,26.9,1.4,164.7,14.2,7,,2016-01-06T07:16:54,2016-01-06T17:47:47,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-07,82.7,53.1,67.8,80.3,53.1,67.5,41.7,41.8,0,0,0,,,,,7.8,1,1017.8,36.2,1,163.6,14.2,7,,2016-01-07T07:17:03,2016-01-07T17:48:31,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-08,81.1,54.9,66.2,79.6,54.9,66.1,40.8,41.6,0,0,0,,,,,10.5,342.6,1017.9,13.1,1.2,171.5,14.7,7,,2016-01-08T07:17:11,2016-01-08T17:49:15,0.94,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-09,78.5,48.6,62.7,78.5,45.8,62.5,37,43.5,0,0,0,,,,,10.3,331.5,1016.6,2.4,1.4,184.5,16,7,,2016-01-09T07:17:18,2016-01-09T17:50:00,0.97,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-10,81.1,51.8,65.2,80,51.8,65,33.4,35.4,0,0,0,,,,,4.9,181.2,1017,0,1.2,188.8,16.3,7,,2016-01-10T07:17:22,2016-01-10T17:50:45,0,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-11,81.2,50.6,64.7,79.1,50.6,64.6,35.1,36.9,0,0,0,,,,,5.8,161.5,1017.9,0,1.5,189.9,16.3,7,,2016-01-11T07:17:26,2016-01-11T17:51:31,0.04,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-12,80.5,51.7,64.3,80,51.7,64.2,35.9,37.9,0,0,0,,,,,11.6,263.3,1014.4,0,1.1,180.8,15.4,7,,2016-01-12T07:17:27,2016-01-12T17:52:17,0.08,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-13,78.3,51.3,63.8,78.3,51.3,63.8,41.6,46.6,0,0,0,,,,,10.5,330.6,1014.9,4.2,1.3,184.5,15.9,7,,2016-01-13T07:17:28,2016-01-13T17:53:04,0.11,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-14,76.4,46.8,59.8,76.4,44,59.3,38.1,47.9,0,0,0,,,,,7.6,352.1,1015.8,25.5,1,155.3,13.3,6,,2016-01-14T07:17:26,2016-01-14T17:53:51,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-15,76.7,46.5,59.9,76.7,43.2,59.5,37.7,48.7,0,0,0,,,,,8.1,23.4,1015.4,3.7,0.9,181.8,15.8,7,,2016-01-15T07:17:23,2016-01-15T17:54:38,0.19,Clear,Clear conditions throughout the day.,fog,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-16,74.7,43.1,53.9,74.7,39.6,53.1,37.2,59.8,0,0,0,,,,,7.2,346.2,1015.3,0,1,194.7,16.8,7,,2016-01-16T07:17:19,2016-01-16T17:55:25,0.22,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-17,74.6,42.9,55.7,74.6,38.7,54.6,39.8,60.2,0,0,0,,,,,11.4,91,1015.7,0,1,191.3,16.6,7,,2016-01-17T07:17:13,2016-01-17T17:56:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-18,75.3,45.2,58.1,75.3,41.8,57.3,34.3,47.4,0,0,0,,,,,8.3,102.9,1014.8,10.7,0.8,167.4,14.5,6,,2016-01-18T07:17:05,2016-01-18T17:57:00,0.29,Clear,Clear conditions throughout the day.,fog,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-19,69.2,50.4,57.9,69.2,50.4,57.9,39.1,51.8,0.008,100,8.33,rain,,,,9.4,89.3,1014.2,35.4,0.8,134.1,11.5,5,,2016-01-19T07:16:56,2016-01-19T17:57:48,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-20,72.4,42.7,54.7,72.4,40.2,54.3,40.3,68.3,0,0,0,,,,,10.3,291.1,1018,0.1,1,193.6,16.7,7,,2016-01-20T07:16:46,2016-01-20T17:58:36,0.36,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-21,74.2,44.6,56.7,74.2,42.7,56.3,32.8,50,0,0,0,,,,,5.8,329.4,1020.4,0,1,205.3,17.7,7,,2016-01-21T07:16:34,2016-01-21T17:59:24,0.4,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-22,75.8,42.8,58,75.8,42.8,57.9,24,36,0,0,0,,,,,8.1,190.7,1019,0,1.1,208.6,18,8,,2016-01-22T07:16:20,2016-01-22T18:00:12,0.44,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-23,77.6,45.4,59,77.6,42.9,58.5,24.2,30.8,0,0,0,,,,,9.2,212.2,1019.5,0,1.2,201.9,17.4,7,,2016-01-23T07:16:05,2016-01-23T18:01:00,0.47,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-24,79.1,48.2,61.3,79.1,46.3,61.2,25.1,29.6,0,0,0,,,,,8.3,262.6,1018.3,4.1,1.2,205.5,17.7,8,,2016-01-24T07:15:48,2016-01-24T18:01:48,0.5,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
"Jaipur,India",2016-01-25,76.9,40.9,59.4,76.9,36.1,58.5,26.3,34.4,0,0,0,,,,,7.6,82.5,1016.2,12.6,1.3,196.4,16.8,7,,2016-01-25T07:15:30,2016-01-25T18:02:36,0.54,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
