,T2M,RH2M,Date
0,18.51,21.25,2016-01-01
1,17.19,21.38,2016-01-02
2,16.22,20.69,2016-01-03
3,17.49,21.81,2016-01-04
4,20.12,23.31,2016-01-05
5,20.12,30.62,2016-01-06
6,19.93,32.88,2016-01-07
7,19.21,37.88,2016-01-08
8,17.28,32.69,2016-01-09
9,16.71,28.31,2016-01-10
10,17.58,29.06,2016-01-11
11,18.23,29.75,2016-01-12
12,18.84,31.06,2016-01-13
13,18.32,36.19,2016-01-14
14,17.26,34.0,2016-01-15
15,15.04,30.25,2016-01-16
16,14.55,29.88,2016-01-17
17,15.83,24.44,2016-01-18
18,15.55,40.38,2016-01-19
19,13.1,61.62,2016-01-20
20,12.52,37.62,2016-01-21
21,12.03,29.75,2016-01-22
22,13.7,28.56,2016-01-23
23,15.48,28.62,2016-01-24
24,15.62,28.56,2016-01-25
25,16.31,26.5,2016-01-26
26,16.85,25.5,2016-01-27
27,18.33,26.81,2016-01-28
28,19.18,29.12,2016-01-29
29,20.7,34.12,2016-01-30
30,21.45,39.81,2016-01-31
31,20.87,27.31,2016-02-01
32,17.76,21.0,2016-02-02
33,15.62,21.31,2016-02-03
34,16.41,23.19,2016-02-04
35,17.37,22.06,2016-02-05
36,17.31,20.19,2016-02-06
37,18.59,24.31,2016-02-07
38,17.21,34.5,2016-02-08
39,17.94,38.31,2016-02-09
40,19.02,33.25,2016-02-10
41,20.53,25.88,2016-02-11
42,20.47,24.12,2016-02-12
43,21.08,23.81,2016-02-13
44,21.28,26.44,2016-02-14
45,21.1,24.0,2016-02-15
46,21.64,28.62,2016-02-16
47,22.41,24.44,2016-02-17
48,25.62,26.12,2016-02-18
49,27.34,28.0,2016-02-19
50,25.55,34.19,2016-02-20
51,23.53,37.56,2016-02-21
52,21.6,16.88,2016-02-22
53,22.17,13.31,2016-02-23
54,23.57,11.5,2016-02-24
55,21.51,15.75,2016-02-25
56,21.25,17.38,2016-02-26
57,23.26,15.69,2016-02-27
58,23.99,16.0,2016-02-28
59,23.49,18.19,2016-02-29
60,23.76,16.62,2016-03-01
61,25.56,16.25,2016-03-02
62,25.73,20.69,2016-03-03
63,26.74,22.62,2016-03-04
64,27.87,21.31,2016-03-05
65,26.62,28.69,2016-03-06
66,26.94,38.81,2016-03-07
67,26.9,41.81,2016-03-08
68,25.73,29.81,2016-03-09
69,26.11,27.5,2016-03-10
70,27.84,28.38,2016-03-11
71,25.19,41.12,2016-03-12
72,23.64,56.12,2016-03-13
73,23.19,59.69,2016-03-14
74,22.6,44.5,2016-03-15
75,23.08,29.12,2016-03-16
76,25.65,24.31,2016-03-17
77,27.65,26.44,2016-03-18
78,28.9,29.75,2016-03-19
79,29.77,27.94,2016-03-20
80,28.79,19.56,2016-03-21
81,25.7,15.06,2016-03-22
82,26.39,11.75,2016-03-23
83,28.58,11.94,2016-03-24
84,31.08,11.88,2016-03-25
85,32.08,13.94,2016-03-26
86,28.79,28.38,2016-03-27
87,28.41,23.62,2016-03-28
88,27.65,15.56,2016-03-29
89,29.52,16.44,2016-03-30
90,30.93,15.75,2016-03-31
91,32.01,14.0,2016-04-01
92,32.96,17.75,2016-04-02
93,34.34,22.44,2016-04-03
94,34.19,20.06,2016-04-04
95,33.55,17.94,2016-04-05
96,32.59,21.81,2016-04-06
97,32.4,20.31,2016-04-07
98,32.01,20.0,2016-04-08
99,32.95,12.38,2016-04-09
100,33.78,15.94,2016-04-10
101,34.18,16.81,2016-04-11
102,31.48,18.88,2016-04-12
103,31.95,16.5,2016-04-13
104,33.05,15.0,2016-04-14
105,34.52,16.31,2016-04-15
106,35.62,15.69,2016-04-16
107,34.83,16.06,2016-04-17
108,34.95,16.94,2016-04-18
109,34.94,17.12,2016-04-19
110,35.23,15.0,2016-04-20
111,35.1,13.31,2016-04-21
112,35.26,15.06,2016-04-22
113,33.92,14.69,2016-04-23
114,32.53,7.94,2016-04-24
115,32.72,8.0,2016-04-25
116,33.31,9.56,2016-04-26
117,35.01,10.44,2016-04-27
118,34.73,10.19,2016-04-28
119,34.75,10.31,2016-04-29
120,34.79,10.0,2016-04-30
121,35.09,7.88,2016-05-01
122,35.84,8.81,2016-05-02
123,33.39,23.31,2016-05-03
124,34.06,26.06,2016-05-04
125,33.19,28.5,2016-05-05
126,32.6,32.44,2016-05-06
127,33.19,31.5,2016-05-07
128,34.6,26.81,2016-05-08
129,34.87,25.94,2016-05-09
130,36.47,25.12,2016-05-10
131,36.26,24.94,2016-05-11
132,35.73,27.69,2016-05-12
133,36.65,24.81,2016-05-13
134,38.59,20.0,2016-05-14
135,39.0,16.94,2016-05-15
136,38.75,15.62,2016-05-16
137,39.34,13.69,2016-05-17
138,39.44,12.06,2016-05-18
139,37.57,26.5,2016-05-19
140,37.71,31.94,2016-05-20
141,35.69,37.31,2016-05-21
142,36.06,33.75,2016-05-22
143,37.19,27.06,2016-05-23
144,34.71,42.25,2016-05-24
145,35.48,37.69,2016-05-25
146,35.14,35.12,2016-05-26
147,36.96,28.44,2016-05-27
148,36.12,32.44,2016-05-28
149,34.05,42.94,2016-05-29
150,32.78,43.12,2016-05-30
151,34.93,38.25,2016-05-31
152,35.96,34.75,2016-06-01
153,36.47,34.06,2016-06-02
154,35.83,36.75,2016-06-03
155,36.56,35.81,2016-06-04
156,37.13,33.44,2016-06-05
157,37.55,29.56,2016-06-06
158,37.29,28.62,2016-06-07
159,36.65,32.62,2016-06-08
160,34.78,41.56,2016-06-09
161,37.48,29.5,2016-06-10
162,38.48,28.12,2016-06-11
163,37.93,32.75,2016-06-12
164,38.87,29.56,2016-06-13
165,37.36,35.25,2016-06-14
166,37.29,36.5,2016-06-15
167,34.9,48.12,2016-06-16
168,35.26,41.5,2016-06-17
169,35.29,43.25,2016-06-18
170,35.34,45.38,2016-06-19
171,33.74,57.56,2016-06-20
172,33.98,58.25,2016-06-21
173,32.07,64.38,2016-06-22
174,31.76,64.06,2016-06-23
175,34.67,51.5,2016-06-24
176,33.95,53.81,2016-06-25
177,33.23,60.12,2016-06-26
178,34.76,54.5,2016-06-27
179,35.11,50.75,2016-06-28
180,35.23,51.06,2016-06-29
181,33.58,52.81,2016-06-30
182,32.3,65.56,2016-07-01
183,30.37,78.88,2016-07-02
184,31.09,70.69,2016-07-03
185,31.17,72.31,2016-07-04
186,29.44,81.25,2016-07-05
187,30.35,77.94,2016-07-06
188,30.3,79.5,2016-07-07
189,30.45,80.31,2016-07-08
190,30.73,78.88,2016-07-09
191,31.52,74.62,2016-07-10
192,28.82,82.56,2016-07-11
193,30.38,76.81,2016-07-12
194,30.42,78.75,2016-07-13
195,31.31,78.19,2016-07-14
196,29.96,85.44,2016-07-15
197,28.87,86.81,2016-07-16
198,28.47,85.88,2016-07-17
199,28.07,86.06,2016-07-18
200,29.82,81.94,2016-07-19
201,30.74,78.12,2016-07-20
202,30.97,78.44,2016-07-21
203,30.69,79.62,2016-07-22
204,28.51,85.62,2016-07-23
205,28.07,84.19,2016-07-24
206,29.22,83.94,2016-07-25
207,28.08,91.0,2016-07-26
208,28.0,88.56,2016-07-27
209,28.16,85.31,2016-07-28
210,27.66,91.0,2016-07-29
211,28.65,85.56,2016-07-30
212,27.33,89.88,2016-07-31
213,27.54,88.75,2016-08-01
214,28.16,85.69,2016-08-02
215,28.4,86.88,2016-08-03
216,29.4,82.81,2016-08-04
217,29.66,82.31,2016-08-05
218,29.19,86.0,2016-08-06
219,28.94,85.5,2016-08-07
220,28.85,86.25,2016-08-08
221,28.37,84.88,2016-08-09
222,27.66,90.0,2016-08-10
223,28.88,86.25,2016-08-11
224,28.12,87.62,2016-08-12
225,29.26,79.62,2016-08-13
226,29.87,80.38,2016-08-14
227,29.12,85.0,2016-08-15
228,29.05,85.12,2016-08-16
229,28.54,86.25,2016-08-17
230,29.01,84.31,2016-08-18
231,28.26,87.69,2016-08-19
232,27.76,85.81,2016-08-20
233,27.94,84.38,2016-08-21
234,28.57,83.25,2016-08-22
235,28.01,86.25,2016-08-23
236,28.53,85.12,2016-08-24
237,30.04,78.25,2016-08-25
238,28.95,85.06,2016-08-26
239,28.09,86.81,2016-08-27
240,29.22,80.75,2016-08-28
241,29.95,81.44,2016-08-29
242,29.19,84.31,2016-08-30
243,28.69,86.25,2016-08-31
244,29.02,82.38,2016-09-01
245,28.26,86.06,2016-09-02
246,28.23,81.12,2016-09-03
247,27.98,82.0,2016-09-04
248,27.5,82.19,2016-09-05
249,27.25,82.44,2016-09-06
250,27.68,82.19,2016-09-07
251,27.87,81.38,2016-09-08
252,27.95,80.5,2016-09-09
253,28.01,78.81,2016-09-10
254,28.37,79.44,2016-09-11
255,28.93,76.44,2016-09-12
256,28.04,84.0,2016-09-13
257,28.1,84.69,2016-09-14
258,29.09,78.94,2016-09-15
259,29.12,79.38,2016-09-16
260,28.94,81.06,2016-09-17
261,28.23,86.12,2016-09-18
262,27.86,86.19,2016-09-19
263,29.26,78.81,2016-09-20
264,28.67,83.19,2016-09-21
265,27.12,86.5,2016-09-22
266,27.39,84.5,2016-09-23
267,27.06,86.06,2016-09-24
268,26.69,85.38,2016-09-25
269,27.08,85.25,2016-09-26
270,27.3,80.19,2016-09-27
271,27.79,81.19,2016-09-28
272,27.3,83.5,2016-09-29
273,28.62,76.75,2016-09-30
274,28.54,80.88,2016-10-01
275,28.86,78.88,2016-10-02
276,29.05,76.25,2016-10-03
277,29.26,75.69,2016-10-04
278,29.01,78.38,2016-10-05
279,28.15,79.5,2016-10-06
280,28.33,74.75,2016-10-07
281,27.99,78.19,2016-10-08
282,27.78,70.81,2016-10-09
283,27.12,60.44,2016-10-10
284,26.26,58.0,2016-10-11
285,24.53,53.88,2016-10-12
286,23.75,54.62,2016-10-13
287,24.08,51.19,2016-10-14
288,25.26,48.25,2016-10-15
289,25.74,47.81,2016-10-16
290,25.05,45.06,2016-10-17
291,25.07,43.94,2016-10-18
292,25.86,41.31,2016-10-19
293,25.08,46.94,2016-10-20
294,25.48,45.31,2016-10-21
295,24.44,50.69,2016-10-22
296,23.01,52.5,2016-10-23
297,22.57,48.12,2016-10-24
298,23.63,47.69,2016-10-25
299,24.13,46.0,2016-10-26
300,24.77,39.75,2016-10-27
301,23.39,40.44,2016-10-28
302,23.54,40.94,2016-10-29
