-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2022 
Location: Latitude  23.0925   Longitude 72.6936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2015,19.44,24.15,27.45,32.26,35.3,32.69,30.2,28.26,29.01,29.43,26.43,21.28,28.0
T2M,2016,21.58,24.02,29.41,32.25,35.9,34.58,30.48,28.25,28.12,26.76,23.48,22.12,28.08
T2M,2017,20.83,24.34,28.3,32.22,35.78,33.63,28.37,27.6,27.58,27.23,23.31,20.59,27.49
T2M,2018,21.48,25.18,29.05,32.98,35.59,35.33,29.83,28.21,27.73,29.17,25.66,20.1,28.37
T2M,2019,19.37,22.31,27.26,33.34,34.29,34.36,31.36,27.75,27.6,25.69,23.51,18.58,27.13
T2M,2020,17.48,22.24,26.14,33.56,35.72,32.12,30.12,28.26,27.93,26.52,21.43,20.24,26.82
T2M,2021,19.56,23.9,29.45,32.81,33.98,32.14,30.43,30.12,28.23,26.43,23.49,20.33,27.58
T2M,2022,18.84,23.2,29.97,33.87,35.4,33.9,28.5,27.67,27.4,25.8,23.44,21.51,27.47
RH2M,2015,39.38,28.88,32.06,36.38,35.0,58.25,70.44,81.12,68.62,46.62,33.69,19.25,45.88
RH2M,2016,27.12,22.06,24.94,30.25,35.75,47.06,68.69,81.19,74.69,62.38,38.12,31.38,45.44
RH2M,2017,30.75,22.69,21.88,28.06,32.0,56.19,81.12,85.81,81.19,57.62,41.81,40.81,48.5
RH2M,2018,26.62,24.5,22.5,26.5,32.81,45.81,73.06,77.75,70.69,42.25,29.25,25.19,41.5
RH2M,2019,23.81,28.25,24.5,25.25,36.5,50.44,66.56,86.12,89.12,81.44,79.69,68.69,55.19
RH2M,2020,54.69,34.19,34.25,25.81,33.81,63.31,76.06,86.38,84.88,71.25,62.19,51.06,56.56
RH2M,2021,39.56,28.81,23.75,26.31,42.62,61.69,70.12,66.12,84.06,70.81,56.88,52.62,52.06
RH2M,2022,46.75,30.81,20.38,24.56,35.81,50.19,82.38,85.44,84.81,67.38,49.81,44.69,52.06
