,T2M,RH2M,Date
0,23.73,76.62,2016-01-01
1,23.5,77.0,2016-01-02
2,23.52,76.88,2016-01-03
3,23.78,76.56,2016-01-04
4,23.73,75.75,2016-01-05
5,23.46,77.69,2016-01-06
6,23.44,75.81,2016-01-07
7,23.4,75.31,2016-01-08
8,23.03,73.06,2016-01-09
9,22.85,72.5,2016-01-10
10,23.25,72.06,2016-01-11
11,23.17,71.38,2016-01-12
12,23.21,72.5,2016-01-13
13,23.07,73.56,2016-01-14
14,23.07,75.5,2016-01-15
15,22.79,73.62,2016-01-16
16,22.86,74.62,2016-01-17
17,23.78,75.56,2016-01-18
18,24.89,76.94,2016-01-19
19,25.19,77.81,2016-01-20
20,25.05,76.88,2016-01-21
21,24.41,83.56,2016-01-22
22,25.08,85.06,2016-01-23
23,25.16,82.88,2016-01-24
24,25.26,78.5,2016-01-25
25,25.01,76.62,2016-01-26
26,24.8,74.25,2016-01-27
27,24.86,71.75,2016-01-28
28,24.65,74.31,2016-01-29
29,24.55,75.69,2016-01-30
30,24.21,77.5,2016-01-31
31,23.98,74.38,2016-02-01
32,24.05,75.19,2016-02-02
33,24.22,76.38,2016-02-03
34,24.74,74.94,2016-02-04
35,25.42,72.5,2016-02-05
36,25.38,71.75,2016-02-06
37,25.94,71.94,2016-02-07
38,25.84,75.44,2016-02-08
39,25.4,75.44,2016-02-09
40,25.44,72.31,2016-02-10
41,25.48,72.62,2016-02-11
42,25.77,71.69,2016-02-12
43,26.26,74.06,2016-02-13
44,25.58,70.94,2016-02-14
45,26.12,70.19,2016-02-15
46,26.11,71.81,2016-02-16
47,26.26,73.75,2016-02-17
48,26.69,71.19,2016-02-18
49,26.32,73.75,2016-02-19
50,27.38,73.88,2016-02-20
51,27.49,74.0,2016-02-21
52,27.02,74.0,2016-02-22
53,26.26,73.06,2016-02-23
54,26.37,69.38,2016-02-24
55,27.26,71.56,2016-02-25
56,27.44,70.12,2016-02-26
57,26.86,74.94,2016-02-27
58,27.31,76.25,2016-02-28
59,27.05,74.25,2016-02-29
60,27.43,70.62,2016-03-01
61,26.78,72.44,2016-03-02
62,27.08,70.12,2016-03-03
63,26.16,73.44,2016-03-04
64,27.15,70.19,2016-03-05
65,27.16,70.44,2016-03-06
66,27.39,68.94,2016-03-07
67,27.33,68.88,2016-03-08
68,27.96,66.31,2016-03-09
69,27.11,74.81,2016-03-10
70,28.23,70.25,2016-03-11
71,28.26,69.56,2016-03-12
72,29.08,67.56,2016-03-13
73,29.0,66.12,2016-03-14
74,28.87,65.75,2016-03-15
75,29.32,65.88,2016-03-16
76,30.02,62.12,2016-03-17
77,29.62,60.38,2016-03-18
78,30.03,58.5,2016-03-19
79,30.2,59.81,2016-03-20
80,30.78,57.38,2016-03-21
81,31.26,60.62,2016-03-22
82,31.35,65.38,2016-03-23
83,30.48,64.25,2016-03-24
84,29.25,65.81,2016-03-25
85,29.12,62.56,2016-03-26
86,28.9,63.0,2016-03-27
87,29.45,64.88,2016-03-28
88,30.38,65.5,2016-03-29
89,29.96,67.38,2016-03-30
90,30.05,65.31,2016-03-31
91,30.2,63.69,2016-04-01
92,30.37,63.62,2016-04-02
93,30.94,61.75,2016-04-03
94,30.48,62.5,2016-04-04
95,30.36,62.69,2016-04-05
96,30.73,63.94,2016-04-06
97,31.06,65.62,2016-04-07
98,31.26,64.06,2016-04-08
99,30.81,62.94,2016-04-09
100,30.62,62.38,2016-04-10
101,30.4,64.5,2016-04-11
102,31.62,65.19,2016-04-12
103,32.37,65.56,2016-04-13
104,32.08,67.31,2016-04-14
105,31.67,68.25,2016-04-15
106,31.51,68.5,2016-04-16
107,31.3,68.38,2016-04-17
108,31.14,67.38,2016-04-18
109,31.05,66.5,2016-04-19
110,31.62,64.0,2016-04-20
