,T2M,RH2M,Date
0,22.7,47.62,2016-01-01
1,22.95,42.12,2016-01-02
2,22.51,33.94,2016-01-03
3,21.76,38.06,2016-01-04
4,21.95,40.94,2016-01-05
5,22.22,47.25,2016-01-06
6,21.96,47.81,2016-01-07
7,21.98,45.62,2016-01-08
8,22.73,36.5,2016-01-09
9,22.21,36.81,2016-01-10
10,22.03,34.75,2016-01-11
11,22.06,33.69,2016-01-12
12,22.26,36.75,2016-01-13
13,22.83,47.25,2016-01-14
14,22.72,54.94,2016-01-15
15,23.56,49.44,2016-01-16
16,23.56,45.12,2016-01-17
17,23.15,50.19,2016-01-18
18,21.3,68.38,2016-01-19
19,22.59,52.06,2016-01-20
20,20.83,31.62,2016-01-21
21,20.76,25.44,2016-01-22
22,20.75,20.88,2016-01-23
23,21.95,24.44,2016-01-24
24,23.58,50.44,2016-01-25
25,24.8,52.0,2016-01-26
26,24.52,40.81,2016-01-27
27,23.98,16.94,2016-01-28
28,23.89,24.19,2016-01-29
29,24.34,22.19,2016-01-30
30,25.4,21.19,2016-01-31
31,25.44,24.12,2016-02-01
32,25.99,26.56,2016-02-02
33,25.24,21.69,2016-02-03
34,24.55,22.62,2016-02-04
35,24.28,38.5,2016-02-05
36,24.93,49.06,2016-02-06
37,25.98,52.56,2016-02-07
38,26.48,46.56,2016-02-08
39,26.51,46.94,2016-02-09
40,26.36,41.5,2016-02-10
41,27.09,38.38,2016-02-11
42,27.57,34.0,2016-02-12
43,27.25,35.69,2016-02-13
44,27.08,39.06,2016-02-14
45,26.23,39.19,2016-02-15
46,25.51,46.19,2016-02-16
47,25.19,41.19,2016-02-17
48,25.44,40.62,2016-02-18
49,26.27,27.31,2016-02-19
50,27.14,29.0,2016-02-20
51,28.62,32.5,2016-02-21
52,30.23,27.25,2016-02-22
53,29.73,31.88,2016-02-23
54,29.55,31.62,2016-02-24
55,29.44,32.62,2016-02-25
56,28.55,50.44,2016-02-26
57,27.5,43.62,2016-02-27
58,27.17,48.62,2016-02-28
59,27.8,47.88,2016-02-29
60,25.98,54.75,2016-03-01
61,27.73,47.38,2016-03-02
62,28.55,43.81,2016-03-03
63,28.38,40.38,2016-03-04
64,28.71,37.81,2016-03-05
65,29.99,31.62,2016-03-06
66,28.45,32.75,2016-03-07
67,28.33,32.25,2016-03-08
68,28.06,34.62,2016-03-09
69,30.12,29.94,2016-03-10
70,30.26,29.38,2016-03-11
71,30.27,30.06,2016-03-12
72,30.37,34.69,2016-03-13
73,29.83,29.44,2016-03-14
74,29.51,45.62,2016-03-15
75,30.03,36.88,2016-03-16
76,30.33,26.19,2016-03-17
77,31.49,23.81,2016-03-18
78,31.44,28.75,2016-03-19
79,31.4,24.5,2016-03-20
80,30.86,19.06,2016-03-21
81,30.42,12.75,2016-03-22
82,30.56,15.81,2016-03-23
83,31.42,33.81,2016-03-24
84,31.25,34.31,2016-03-25
85,31.37,35.81,2016-03-26
86,31.12,29.44,2016-03-27
87,29.98,36.88,2016-03-28
88,30.93,35.25,2016-03-29
89,32.09,32.31,2016-03-30
90,32.28,33.88,2016-03-31
91,32.8,25.75,2016-04-01
92,32.65,28.44,2016-04-02
93,33.48,28.94,2016-04-03
94,33.78,26.0,2016-04-04
95,32.32,26.06,2016-04-05
96,31.9,21.44,2016-04-06
97,31.78,22.12,2016-04-07
98,31.95,30.0,2016-04-08
99,31.99,35.69,2016-04-09
100,32.32,34.44,2016-04-10
101,33.51,29.44,2016-04-11
102,34.52,17.25,2016-04-12
103,33.76,24.44,2016-04-13
104,34.67,22.88,2016-04-14
105,35.65,31.94,2016-04-15
106,35.26,30.31,2016-04-16
107,34.93,30.25,2016-04-17
108,33.86,30.56,2016-04-18
109,32.48,33.5,2016-04-19
110,33.26,28.19,2016-04-20
111,34.24,31.06,2016-04-21
112,35.48,22.12,2016-04-22
113,34.17,19.12,2016-04-23
