,T2M,RH2M,Date
0,17.27,84.56,2016-01-01
1,17.75,64.5,2016-01-02
2,17.77,53.38,2016-01-03
3,17.25,54.0,2016-01-04
4,15.88,51.0,2016-01-05
5,15.49,51.75,2016-01-06
6,16.01,50.0,2016-01-07
7,16.23,50.38,2016-01-08
8,15.35,52.19,2016-01-09
9,14.73,57.25,2016-01-10
10,14.62,57.31,2016-01-11
11,15.17,50.38,2016-01-12
12,14.88,49.62,2016-01-13
13,15.14,41.94,2016-01-14
14,15.26,39.0,2016-01-15
15,15.37,45.69,2016-01-16
16,14.8,55.81,2016-01-17
17,14.33,56.81,2016-01-18
18,15.08,51.38,2016-01-19
19,16.73,45.88,2016-01-20
20,17.14,51.44,2016-01-21
21,17.71,63.31,2016-01-22
22,16.71,71.44,2016-01-23
23,15.79,66.19,2016-01-24
24,11.35,61.94,2016-01-25
25,11.62,70.19,2016-01-26
26,14.15,67.31,2016-01-27
27,14.26,64.38,2016-01-28
28,14.48,63.0,2016-01-29
29,15.05,61.88,2016-01-30
30,15.96,60.12,2016-01-31
31,16.69,58.0,2016-02-01
32,18.48,47.12,2016-02-02
33,17.46,48.81,2016-02-03
34,16.93,56.12,2016-02-04
35,16.62,55.38,2016-02-05
36,17.53,56.44,2016-02-06
37,17.48,53.25,2016-02-07
38,18.12,50.56,2016-02-08
39,17.48,61.38,2016-02-09
40,17.83,67.31,2016-02-10
41,18.09,67.0,2016-02-11
42,18.65,60.38,2016-02-12
43,20.0,53.44,2016-02-13
44,19.58,54.5,2016-02-14
45,20.11,46.75,2016-02-15
46,20.76,42.69,2016-02-16
47,21.91,43.25,2016-02-17
48,22.47,44.19,2016-02-18
49,22.82,44.38,2016-02-19
50,23.38,45.25,2016-02-20
51,23.49,45.38,2016-02-21
52,23.78,47.56,2016-02-22
53,22.31,50.0,2016-02-23
54,21.92,50.56,2016-02-24
55,18.85,76.38,2016-02-25
56,20.45,73.75,2016-02-26
57,18.21,78.31,2016-02-27
58,18.91,63.88,2016-02-28
59,17.69,68.38,2016-02-29
60,19.44,64.06,2016-03-01
61,21.54,52.25,2016-03-02
62,22.62,40.94,2016-03-03
63,22.9,39.56,2016-03-04
64,23.57,44.75,2016-03-05
65,23.15,43.12,2016-03-06
66,23.55,41.12,2016-03-07
67,23.53,46.0,2016-03-08
68,24.19,44.25,2016-03-09
69,24.67,46.0,2016-03-10
70,24.08,50.44,2016-03-11
71,24.42,49.38,2016-03-12
72,25.32,43.12,2016-03-13
73,25.55,40.44,2016-03-14
74,24.88,39.25,2016-03-15
75,23.66,43.0,2016-03-16
76,23.85,41.5,2016-03-17
77,23.93,33.56,2016-03-18
78,24.17,33.81,2016-03-19
79,25.22,32.44,2016-03-20
80,24.57,40.62,2016-03-21
81,23.83,49.62,2016-03-22
82,24.46,38.81,2016-03-23
83,24.45,33.62,2016-03-24
84,24.75,26.81,2016-03-25
85,25.27,29.88,2016-03-26
86,25.35,39.31,2016-03-27
87,24.71,40.12,2016-03-28
88,23.37,39.88,2016-03-29
89,24.4,49.06,2016-03-30
90,23.94,54.5,2016-03-31
91,22.64,65.44,2016-04-01
92,22.17,66.0,2016-04-02
93,24.66,56.06,2016-04-03
94,25.01,56.88,2016-04-04
95,25.3,55.94,2016-04-05
96,25.62,58.06,2016-04-06
97,26.76,53.56,2016-04-07
98,27.69,47.81,2016-04-08
99,26.94,45.44,2016-04-09
100,28.7,38.62,2016-04-10
101,28.49,35.62,2016-04-11
102,28.43,39.56,2016-04-12
103,28.58,45.25,2016-04-13
104,28.13,41.5,2016-04-14
105,27.58,42.44,2016-04-15
106,27.31,50.5,2016-04-16
107,27.19,52.19,2016-04-17
108,28.12,47.94,2016-04-18
109,25.3,48.69,2016-04-19
110,28.54,39.19,2016-04-20
111,28.94,36.5,2016-04-21
112,26.61,49.94,2016-04-22
113,26.37,62.12,2016-04-23
114,25.12,72.69,2016-04-24
115,25.73,67.31,2016-04-25
116,26.86,59.5,2016-04-26
117,28.06,52.0,2016-04-27
118,28.44,47.94,2016-04-28
119,27.12,53.31,2016-04-29
120,27.42,52.31,2016-04-30
121,25.29,68.88,2016-05-01
122,24.26,71.5,2016-05-02
123,24.55,63.06,2016-05-03
124,25.74,60.44,2016-05-04
125,25.94,59.62,2016-05-05
126,27.16,51.06,2016-05-06
127,27.77,47.56,2016-05-07
128,28.62,45.69,2016-05-08
129,26.85,55.5,2016-05-09
130,28.55,48.25,2016-05-10
131,29.61,43.56,2016-05-11
132,28.88,51.75,2016-05-12
133,26.74,60.44,2016-05-13
134,28.33,50.38,2016-05-14
135,28.73,54.31,2016-05-15
136,27.27,66.69,2016-05-16
137,26.86,67.38,2016-05-17
138,26.43,70.5,2016-05-18
139,23.09,83.44,2016-05-19
140,23.2,82.19,2016-05-20
141,22.59,86.12,2016-05-21
142,26.08,66.56,2016-05-22
143,24.37,75.69,2016-05-23
144,23.94,77.81,2016-05-24
145,22.95,84.75,2016-05-25
146,25.07,72.81,2016-05-26
147,25.79,67.88,2016-05-27
148,26.97,60.69,2016-05-28
149,27.43,56.81,2016-05-29
150,26.49,65.62,2016-05-30
151,26.91,65.94,2016-05-31
152,25.32,71.0,2016-06-01
153,24.66,73.75,2016-06-02
154,26.43,65.25,2016-06-03
155,26.5,66.62,2016-06-04
156,25.65,70.81,2016-06-05
157,24.15,75.62,2016-06-06
158,24.71,76.19,2016-06-07
159,22.99,85.19,2016-06-08
160,23.08,81.12,2016-06-09
161,22.9,82.06,2016-06-10
162,22.74,87.25,2016-06-11
163,23.79,82.88,2016-06-12
164,23.4,83.12,2016-06-13
165,24.15,75.69,2016-06-14
166,24.89,79.44,2016-06-15
167,24.36,84.12,2016-06-16
168,26.1,74.62,2016-06-17
169,25.15,77.19,2016-06-18
170,24.69,78.88,2016-06-19
171,25.51,71.31,2016-06-20
172,25.48,74.81,2016-06-21
173,25.57,75.0,2016-06-22
174,25.83,72.62,2016-06-23
175,27.2,66.56,2016-06-24
176,25.45,76.44,2016-06-25
177,27.14,68.44,2016-06-26
178,27.34,67.19,2016-06-27
179,27.95,66.0,2016-06-28
180,27.65,67.5,2016-06-29
181,27.38,66.62,2016-06-30
182,25.82,73.12,2016-07-01
183,25.9,72.06,2016-07-02
184,25.57,68.0,2016-07-03
185,25.6,68.75,2016-07-04
186,26.26,69.25,2016-07-05
187,25.59,78.12,2016-07-06
188,26.21,75.19,2016-07-07
189,26.87,71.75,2016-07-08
190,25.1,79.62,2016-07-09
191,25.41,73.94,2016-07-10
192,26.05,69.81,2016-07-11
193,25.61,75.25,2016-07-12
194,25.43,76.88,2016-07-13
195,24.99,80.75,2016-07-14
196,24.33,80.38,2016-07-15
197,24.19,82.5,2016-07-16
198,24.37,78.88,2016-07-17
199,25.14,72.06,2016-07-18
200,23.08,83.69,2016-07-19
201,24.58,78.88,2016-07-20
202,24.05,81.56,2016-07-21
203,23.51,80.69,2016-07-22
204,23.37,81.62,2016-07-23
205,21.93,87.25,2016-07-24
206,23.32,77.88,2016-07-25
207,26.12,66.69,2016-07-26
208,27.04,70.19,2016-07-27
209,27.06,74.19,2016-07-28
210,25.2,82.25,2016-07-29
211,23.86,86.44,2016-07-30
212,24.95,77.25,2016-07-31
213,24.84,79.38,2016-08-01
214,25.94,74.12,2016-08-02
215,25.34,76.69,2016-08-03
216,23.7,82.38,2016-08-04
217,24.22,81.0,2016-08-05
218,24.37,79.81,2016-08-06
219,25.03,77.88,2016-08-07
220,25.23,74.56,2016-08-08
221,24.48,77.69,2016-08-09
222,25.57,71.44,2016-08-10
223,26.66,69.88,2016-08-11
224,25.33,82.88,2016-08-12
225,25.34,83.62,2016-08-13
226,23.6,90.25,2016-08-14
227,23.63,89.06,2016-08-15
228,23.32,86.75,2016-08-16
229,24.8,75.5,2016-08-17
230,25.25,76.25,2016-08-18
231,26.87,73.88,2016-08-19
232,24.66,85.44,2016-08-20
233,25.13,67.38,2016-08-21
234,25.33,73.06,2016-08-22
235,26.75,70.5,2016-08-23
236,27.74,69.44,2016-08-24
237,26.55,75.5,2016-08-25
238,28.08,70.94,2016-08-26
239,25.58,83.38,2016-08-27
240,26.66,73.81,2016-08-28
241,26.27,74.12,2016-08-29
242,25.27,77.44,2016-08-30
243,25.12,74.25,2016-08-31
244,24.72,74.62,2016-09-01
245,25.17,79.0,2016-09-02
246,24.86,76.25,2016-09-03
247,25.76,71.88,2016-09-04
248,26.75,66.0,2016-09-05
249,26.3,69.0,2016-09-06
250,26.01,70.5,2016-09-07
251,26.08,71.31,2016-09-08
252,25.23,76.19,2016-09-09
253,24.37,82.81,2016-09-10
254,25.63,69.56,2016-09-11
255,26.15,65.19,2016-09-12
256,26.49,67.0,2016-09-13
257,27.44,64.62,2016-09-14
258,27.48,64.19,2016-09-15
259,26.83,70.38,2016-09-16
260,26.12,73.75,2016-09-17
261,25.48,75.88,2016-09-18
262,24.94,79.56,2016-09-19
263,23.58,89.12,2016-09-20
264,24.78,73.31,2016-09-21
265,26.13,62.31,2016-09-22
266,26.65,63.81,2016-09-23
267,26.76,66.94,2016-09-24
268,26.73,67.81,2016-09-25
269,27.08,66.94,2016-09-26
270,25.5,74.19,2016-09-27
271,27.03,68.56,2016-09-28
272,25.4,76.12,2016-09-29
273,27.13,65.12,2016-09-30
274,25.4,75.75,2016-10-01
275,27.0,66.94,2016-10-02
276,27.25,63.56,2016-10-03
277,26.88,64.44,2016-10-04
278,26.77,65.0,2016-10-05
279,26.57,65.5,2016-10-06
280,26.34,66.88,2016-10-07
281,25.73,70.69,2016-10-08
282,24.87,73.81,2016-10-09
283,25.72,68.94,2016-10-10
284,25.23,70.69,2016-10-11
285,24.94,74.19,2016-10-12
286,23.15,80.06,2016-10-13
287,25.24,70.94,2016-10-14
288,26.22,63.75,2016-10-15
289,26.24,62.75,2016-10-16
290,25.59,70.31,2016-10-17
291,25.85,66.44,2016-10-18
292,25.94,64.0,2016-10-19
293,25.8,65.81,2016-10-20
294,25.44,65.25,2016-10-21
295,25.36,63.88,2016-10-22
296,25.51,66.75,2016-10-23
297,24.39,74.81,2016-10-24
298,23.45,78.38,2016-10-25
299,22.79,85.44,2016-10-26
300,21.2,91.25,2016-10-27
301,20.55,93.5,2016-10-28
302,20.44,92.88,2016-10-29
303,21.93,86.0,2016-10-30
304,22.06,82.5,2016-10-31
305,23.12,74.81,2016-11-01
306,22.94,76.0,2016-11-02
307,23.06,71.94,2016-11-03
308,22.49,75.0,2016-11-04
309,23.05,72.5,2016-11-05
310,23.58,73.31,2016-11-06
311,24.07,71.38,2016-11-07
312,22.62,79.5,2016-11-08
313,23.72,77.88,2016-11-09
314,23.49,80.06,2016-11-10
315,23.19,76.62,2016-11-11
316,23.1,69.12,2016-11-12
317,23.22,66.06,2016-11-13
318,22.3,60.38,2016-11-14
319,21.6,62.56,2016-11-15
320,22.44,58.88,2016-11-16
321,22.8,59.69,2016-11-17
322,21.93,58.69,2016-11-18
323,20.67,56.56,2016-11-19
324,19.8,56.69,2016-11-20
325,19.29,54.31,2016-11-21
326,18.99,54.12,2016-11-22
327,18.77,58.44,2016-11-23
328,18.83,57.94,2016-11-24
329,18.97,60.06,2016-11-25
330,19.24,60.62,2016-11-26
331,19.57,57.75,2016-11-27
332,19.37,63.62,2016-11-28
333,19.74,67.56,2016-11-29
334,19.92,67.5,2016-11-30
335,20.39,71.19,2016-12-01
336,20.8,73.62,2016-12-02
337,20.83,69.81,2016-12-03
338,19.7,61.44,2016-12-04
339,17.87,57.94,2016-12-05
340,18.62,64.19,2016-12-06
341,19.48,66.62,2016-12-07
342,19.62,63.25,2016-12-08
343,19.12,62.81,2016-12-09
344,19.58,56.94,2016-12-10
345,19.24,58.62,2016-12-11
346,19.39,61.44,2016-12-12
347,18.94,60.0,2016-12-13
348,19.48,59.75,2016-12-14
349,19.95,63.75,2016-12-15
350,20.42,62.88,2016-12-16
351,20.25,64.19,2016-12-17
352,20.15,68.25,2016-12-18
353,19.52,65.12,2016-12-19
