,T2M,RH2M,Date
0,2.83,32.25,2016-01-01
1,2.38,35.62,2016-01-02
2,2.74,41.12,2016-01-03
3,0.7,75.19,2016-01-04
4,-0.54,78.69,2016-01-05
5,-0.88,75.38,2016-01-06
6,-0.18,73.5,2016-01-07
7,-1.92,74.19,2016-01-08
8,-1.79,49.38,2016-01-09
9,0.6,44.06,2016-01-10
10,2.06,44.06,2016-01-11
11,1.69,55.25,2016-01-12
12,0.17,61.25,2016-01-13
13,-0.27,65.19,2016-01-14
14,-0.06,68.5,2016-01-15
15,0.49,46.88,2016-01-16
16,0.64,47.31,2016-01-17
17,-1.15,59.88,2016-01-18
18,-1.54,57.0,2016-01-19
19,-1.79,33.44,2016-01-20
20,-0.92,37.81,2016-01-21
21,-0.44,38.81,2016-01-22
22,0.38,37.38,2016-01-23
23,0.15,41.88,2016-01-24
24,0.44,41.56,2016-01-25
25,-0.75,69.25,2016-01-26
26,-0.42,74.75,2016-01-27
27,0.18,63.5,2016-01-28
28,-1.54,89.38,2016-01-29
29,-1.62,82.44,2016-01-30
30,-2.03,72.62,2016-01-31
31,-2.13,56.81,2016-02-01
32,-1.57,57.31,2016-02-02
33,-0.67,48.25,2016-02-03
34,2.28,40.0,2016-02-04
35,4.08,39.06,2016-02-05
36,3.94,43.94,2016-02-06
37,0.95,68.75,2016-02-07
38,2.6,54.44,2016-02-08
39,2.83,57.94,2016-02-09
40,0.33,71.38,2016-02-10
41,-3.46,80.12,2016-02-11
42,-4.12,60.94,2016-02-12
43,-2.67,68.56,2016-02-13
44,-2.94,73.19,2016-02-14
45,-1.88,69.44,2016-02-15
46,-0.39,64.62,2016-02-16
47,0.95,49.62,2016-02-17
48,3.99,43.69,2016-02-18
49,3.06,76.44,2016-02-19
50,1.1,73.5,2016-02-20
51,2.12,50.75,2016-02-21
52,3.99,40.94,2016-02-22
53,2.77,37.25,2016-02-23
54,4.08,34.44,2016-02-24
55,4.94,38.69,2016-02-25
56,5.73,46.44,2016-02-26
57,6.11,42.62,2016-02-27
58,6.68,41.94,2016-02-28
59,5.8,54.44,2016-02-29
60,6.28,48.56,2016-03-01
61,6.51,56.12,2016-03-02
62,7.21,60.62,2016-03-03
63,6.65,65.0,2016-03-04
64,5.35,73.19,2016-03-05
65,4.19,75.06,2016-03-06
66,5.21,65.88,2016-03-07
67,6.26,58.75,2016-03-08
68,6.29,60.12,2016-03-09
69,7.1,63.75,2016-03-10
70,4.34,81.31,2016-03-11
71,1.76,89.19,2016-03-12
72,1.59,82.19,2016-03-13
73,0.15,81.94,2016-03-14
74,-0.62,71.5,2016-03-15
75,0.9,63.38,2016-03-16
76,2.9,83.88,2016-03-17
77,2.54,88.06,2016-03-18
78,2.92,82.81,2016-03-19
79,1.07,81.0,2016-03-20
80,0.55,59.75,2016-03-21
81,0.73,54.25,2016-03-22
82,4.32,47.38,2016-03-23
83,5.56,61.12,2016-03-24
84,5.43,83.5,2016-03-25
85,5.26,80.5,2016-03-26
86,6.68,69.12,2016-03-27
87,5.62,63.44,2016-03-28
88,8.21,65.88,2016-03-29
89,9.27,66.25,2016-03-30
90,8.17,73.06,2016-03-31
91,9.76,68.81,2016-04-01
92,8.57,82.44,2016-04-02
93,9.23,82.25,2016-04-03
94,8.71,79.19,2016-04-04
95,7.15,74.06,2016-04-05
96,5.44,75.75,2016-04-06
97,5.3,77.81,2016-04-07
98,5.81,71.94,2016-04-08
99,5.59,75.94,2016-04-09
100,7.14,61.44,2016-04-10
101,6.35,76.69,2016-04-11
102,8.26,65.12,2016-04-12
103,10.2,61.69,2016-04-13
104,11.52,48.62,2016-04-14
105,12.69,51.81,2016-04-15
106,12.83,68.19,2016-04-16
107,11.62,73.94,2016-04-17
108,9.89,73.44,2016-04-18
109,9.34,69.69,2016-04-19
110,10.28,59.81,2016-04-20
111,10.94,59.81,2016-04-21
112,8.15,69.31,2016-04-22
113,6.12,69.5,2016-04-23
114,8.2,59.75,2016-04-24
115,9.56,56.69,2016-04-25
116,9.91,55.31,2016-04-26
117,9.14,60.38,2016-04-27
118,10.55,49.69,2016-04-28
119,12.4,38.31,2016-04-29
120,14.17,38.62,2016-04-30
121,15.05,43.5,2016-05-01
122,15.44,43.94,2016-05-02
123,13.15,55.06,2016-05-03
124,10.13,78.12,2016-05-04
125,9.62,73.81,2016-05-05
126,12.19,63.56,2016-05-06
127,13.77,64.88,2016-05-07
128,15.07,63.38,2016-05-08
129,15.58,60.5,2016-05-09
130,15.74,64.94,2016-05-10
131,13.42,73.44,2016-05-11
132,13.07,71.0,2016-05-12
133,13.42,60.12,2016-05-13
134,13.36,63.81,2016-05-14
135,14.24,57.56,2016-05-15
136,14.11,55.25,2016-05-16
137,15.15,51.25,2016-05-17
138,17.3,44.0,2016-05-18
139,17.87,41.31,2016-05-19
140,18.09,40.31,2016-05-20
141,18.58,39.81,2016-05-21
142,18.93,40.56,2016-05-22
143,15.59,53.75,2016-05-23
144,10.9,78.06,2016-05-24
145,12.4,69.5,2016-05-25
146,14.94,59.75,2016-05-26
147,15.89,51.38,2016-05-27
148,15.69,53.0,2016-05-28
149,15.12,52.25,2016-05-29
150,13.58,52.38,2016-05-30
151,14.92,49.56,2016-05-31
152,17.4,45.88,2016-06-01
153,17.87,51.25,2016-06-02
154,17.38,56.25,2016-06-03
155,18.33,53.31,2016-06-04
156,18.04,49.25,2016-06-05
157,17.31,51.19,2016-06-06
158,17.69,47.38,2016-06-07
159,17.28,50.75,2016-06-08
160,17.86,50.12,2016-06-09
161,17.89,53.12,2016-06-10
162,15.71,64.44,2016-06-11
163,16.82,60.38,2016-06-12
164,17.68,58.88,2016-06-13
